name,address,postal_code,country,region,latitude,longitude,check_in,check_out,price,currency,rating,num_reviews,availability,stars,type,persons,room_type,nota_personal,nota_facilităţi,nota_curăţenie,nota_confort,nota_raport_calitate/preţ,nota_locaţie,nota_wifi_gratuit,vedere_la_oras,menaj_zilnic,canale_prin_satelit,zona_de_luat_masa_in_aer_liber,cada,facilitati_de_calcat,izolare_fonica,terasa_la_soare,pardoseala_de_gresie/marmura,papuci_de_casa,uscator_de_rufe,animale_de_companie,incalzire,birou,mobilier_exterior,alarma_de_fum,vedere_la_gradina,cuptor,cuptor_cu_microunde,zona_de_relaxare,canapea,intrare_privata,fier_de_calcat,masina_de_cafea,plita_de_gatit,extinctoare,cana_fierbator,gradina,ustensile_de_bucatarie,masina_de_spalat,balcon,pardoseala_de_lemn_sau_parchet,aparat_pentru_prepararea_de_ceai/cafea,zona_de_luat_masa,canale_prin_cablu,aer_conditionat,masa,suport_de_haine,cada_sau_dus,frigider,mic_dejun
HOTEL DUNĂREA,"Bulevardul Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.240263,28.62136,De la 09:00 la 16:00,,223.0, lei,8.6,24,,3.0,hotel,2.0,Cameră dublă mică,0.0,8.6,9.3,7.9,8.5,9.0,7.5,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False
Solid Mamaia 387 E7,"387 Bulevardul Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2402465,28.6208184,De la 15:00 la 21:00,,999.0, lei,8.3,4,,3.0,apartment,4.0,Apartament cu 2 dormitoare,0.0,8.1,7.5,8.1,8.1,8.8,0.0,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,False
Hotel Lido,"Bd. Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2611766,28.6195055,De la 18:00,,316.0, lei,8.5,551,,3.0,hotel,2.0,Cameră dublă sau twin cu balcon,0.0,8.2,8.6,8.5,8.4,9.1,8.1,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
Tomis Garden Aparthotel Mamaia,"Statiunea Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2408615,28.6214688,De la 15:00 la 00:00,,525.0, lei,9.2,698,,3.0,aparthotel,2.0,Apartament cu 1 dormitor,0.0,9.1,9.1,9.3,8.8,9.1,7.6,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,True,True,False,True,True,False,False,False,True,True,True,False,True,False
Complex Paloma Coral,"Complex Marea Neagra , 900001 Mamaia, România",900001.0,România,Constanţa,44.2634344,28.6199266,De la 18:00 la 23:30,,253.0, lei,8.4,694,,3.0,hotel,2.0,"Cameră dublă Economy, cu terasă",0.0,8.2,8.6,8.3,8.3,8.8,8.3,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
Bijoux Luxury Mamaia,"523 Bulevardul Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2630814,28.617123,De la 11:00 la 00:00,,540.0, lei,9.2,17,,3.0,apartment,4.0,Apartament cu 1 dormitor,0.0,8.8,9.5,8.9,9.2,8.9,2.5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
Solid residence mamaia,"383 Bulevardul Mamaia, SCA Flat 6, 900001 Mamaia, România",900001.0,România,Constanţa,44.2398802,28.6210249,De la 15:00,,337.0, lei,9.1,8,,3.0,apartment,2.0,Apartament cu 1 dormitor,0.0,8.8,8.4,8.8,9.1,9.4,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hotel Marie,"Bd. Mamaia nr. 426, 900001 Mamaia, România",900001.0,România,Constanţa,44.2400875,28.6214796,De la 16:00 la 23:00,,214.0, lei,7.9,933,,3.0,hotel,2.0,Cameră dublă,0.0,7.7,8.0,7.8,7.9,8.4,7.5,False,True,False,False,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False
Hotel Bueno,"Mamaia, 900001 Mamaia, România",900001.0,România,Constanţa,44.2553087,28.6215574,De la 16:00 la 00:00,,280.0, lei,9.0,405,,3.0,hotel,2.0,Cameră dublă standard,0.0,9.0,9.1,9.2,8.7,9.4,8.4,False,False,False,False,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False
GG Mamaia,"Aleea Itaca Nr. 2 Apt.40, 900001 Mamaia, România",900001.0,România,Constanţa,44.2657282,28.6196799,De la 15:00 la 18:00,,495.0, lei,8.3,6,,3.0,apartment,2.0,Apartament cu 1 dormitor,0.0,9.5,9.5,10.0,9.0,10.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
